Model,Target,Precision,Recall,F1,ROC-AUC,AP,P@38,R@38,NDCG@38,category
LightGBM,top100,0.7007504932181002,0.674,0.6867519542840478,0.8920880274117934,0.738334193933908,0.8526315789473685,0.32399999999999995,0.881463909032783,의자
RandomForest,top100,0.6683954694730556,0.64,0.6532574534013256,0.8927929492050293,0.7044018808974915,0.7947368421052632,0.302,0.8281615277166493,의자
Logistic_L2,top100,0.4923703219745875,0.79,0.6066010346678122,0.8586660979770899,0.622981182755859,0.7368421052631579,0.28,0.7513912731239445,의자
LightGBM,top38(2단계),0.7125288569534094,0.65625,0.6794894511400218,0.8351142848591268,0.7515976122029924,0.6368421052631579,0.7426136363636363,0.786532808947725,의자
RandomForest,top38(2단계),0.6892690451311141,0.6017045454545455,0.6392320133882332,0.8166494565940352,0.7233410915443362,0.6210526315789474,0.7246212121212121,0.7622492431748963,의자
Logistic_L2,top38(2단계),0.5244076655052264,0.6320075757575758,0.5725608767510459,0.7609572042860563,0.6445645207717823,0.5263157894736843,0.6136363636363635,0.6708536275264149,의자
LightGBM,"top38(2단계,리뷰수제외)",0.5227719473596535,0.47857142857142854,0.4988621892740124,0.7314484126984127,0.5733598092425675,0.4526315789473684,0.6142857142857143,0.6519441788296791,의자
RandomForest,"top38(2단계,리뷰수제외)",0.5786498599439776,0.42142857142857143,0.4838173446798784,0.6814484126984126,0.5279318473143679,0.42105263157894735,0.5714285714285714,0.5986021923402385,의자
Logistic_L2,"top38(2단계,리뷰수제외)",0.39111944965603507,0.5,0.4351046698872786,0.6245039682539683,0.43247570972241034,0.368421052631579,0.5,0.49277764655001055,의자
LightGBM,top38(직접),0.6764160922055659,0.5894736842105263,0.6271329379787497,0.9145302952097104,0.6733977091122647,0.6210526315789474,0.6210526315789474,0.7020044209951605,의자
RandomForest,top38(직접),0.6626071526071525,0.5842105263157895,0.6200706133995281,0.919798392691631,0.6394970856344799,0.6368421052631579,0.6368421052631579,0.6882451431794949,의자
Logistic_L2,top38(직접),0.3054831348697108,0.7842105263157896,0.4394831508990145,0.8861922720436015,0.5014148255864349,0.4947368421052632,0.4947368421052632,0.5471541532486753,의자
