Model,Target,R2,RMSE,MAE,category
RF_Reg,rank_score,0.5003857128055229,0.2037749023673161,0.1630660797356365,키보드
LGBM_Reg,rank_score,0.4903978897288363,0.20582084955911867,0.1594339815531822,키보드
Ridge,rank_score,0.32561803879235013,0.23680102204610803,0.1963367850165617,키보드
Linear,rank_score,0.3255721283401857,0.23680910327207508,0.19633140768207813,키보드
Lasso,rank_score,0.3142598127994054,0.23881700773389558,0.20058233333568953,키보드
RF_Reg,rank_score(리뷰수제외),0.422915268532652,0.21905107709541233,0.17653667523577501,키보드
LGBM_Reg,rank_score(리뷰수제외),0.40195427568963576,0.22294096440385366,0.17295870600090424,키보드
Ridge,rank_score(리뷰수제외),0.14977876239352186,0.26592922835620975,0.22572553673328616,키보드
Linear,rank_score(리뷰수제외),0.14972963164675773,0.2659370124305155,0.22572480848407936,키보드
Lasso,rank_score(리뷰수제외),0.13846931464087028,0.2677352117202842,0.22955207250175133,키보드
